ABBREVIATIONS,Full forms
@TEOTD,at the end of the day
*S*,smile
*W*,wink
^^,read line
^5,high-five
^URS,up yours
<3,love
<3333,big love
10M,ten man
10Q,thank you
10X,thanks
14AA41,"one for all, and all for one"
1CE,once
1DR,I wonder
1NAM,one in a million
1TG2TG,1 to go or 2 to go
1UP,extra life
2B,to be
2EZ,too easy
2G2BT,too good to be true
2M2H,too much too handle
2MI,too much information
2MOR,tomorrow
2MORO,tomorrow
2N8,tonight
2NTE,tonight
4AO,for adults only
4COL,for crying out loud
4EAE,forever and ever
4EVA,forever
4NR,foreigner
4SALE,for sale
6Y,sexy
7K,"sick, really cool"
A/N,authors note
A/S/L,age/sex/location
A3,"anytime, anywhere, anyplace"
AA,as above
AAF,as a matter of fact
AAK,asleep at keyboard
AAMOF,as a matter of fact
AAMOI,as a matter of interest
AAP,always a pleasure
AAR,at any rate
AAS,alive and smiling
AASHTA,"as always, sheldon has the answer"
AATK,always at the keyboard
AAYF,"as always, your friend"
ABBR,abbreviation
ABC,already been chewed
ABD,already been done
ABT,about
ABT2,about to
ABTA,good-bye
ABU,all bugged up
AC,acceptable content
ACC,anyone can come
ACDNT,accident
ACK,acknowledge
ACPT,accept
ACQSTN,acquisition
ADAD,"another day, another dollar"
ADBB,"all done, bye-bye"
ADDY,address
ADIH,another day in hell
ADIP,another day in paradise
ADMIN,administrator
ADMINR,administrator
ADN,any day now
ADR,address
AE,area effect
AEAP,as early as possible
AF,as fuck
AFAIAA,as far as I am aware
AFAIC,as far as I am concerned
AFAIK,as far as I know
AFAIUI,as far as I understand it
AFAP,as far as possible
AFC,away from computer
AFFA,"angels forever, forever angels"
AFJ,april fools joke
AFK,away from keyboard
AFPOE,a fresh pair of eyes
AFZ,acronym free zone
AGI,agility
AH,at home
AIAMU,and I am a moneys uncle
AIGHT,alright
AIR,as I remember
AISB,as I said before
AISI,as I see it
AITR,adult in the room
AKA,also known as
ALCON,all concerned
ALOL,actually laughing out loud
AMA,ask me anything
AMAP,as much as possible
AMBW,all my best wishes
AML,all my love
AMOF,as a matter of fact
AO,anarchy online
AOC,available on cell
AOE,area of effect
AOM,age of majority
AOTA,all of the above
AOYP,angel on your pillow
APAC,all praise and credit
API,application programming interface
AQAP,as quick as possible
ARC,archive
AREN'T,are not
ARG,argument
ASAP,as soon as possible
ASIG,and so it goes
ASL,age/sex/location
ASLA,age/sex/location/availability
ATB,all the best
ATEOTD,at the end of the day
ATM,at the moment
ATSITS,all the stars in the sky
ATSL,along the same lines
AWC,after awhile crocodile
AWESO,awesome
AWOL,absent without leave
AYBABTU,all your base are belong to us
AYDY,are you done yet?
AYEC,at your earliest convenience
AYOR,at your own risk
AYS,are you serious?
AYSOS,are you stupid or something?
AYT,are you there?
AYTMTB,and you are telling me this because
AYV,are you vertical?
AYW,as you want
AZN,asian
B-DAY,birthday
B/C,because
B/F,boyfriend
B/G,background
B&,banned
B2B,business-to-business
B2C,business-to-consumer
B2W,back to work
B4,before
B4N,bye for now
B8,bait
B9,boss is watching
BA,bad ass
BAE,before anyone else
BAFO,best and final offer
BAK,back at keyboard
BAM,below average mentality
BAMF,bad ass mother fucker
BAO,be aware of
BAS,big ass smile
BASIC,anything mainstream
BASOR,breathing a sigh of relief
BAU,business as usual
BAY,back at ya
BB,big brother
BBC,big bad challenge
BBIAB,be back in a bit
BBIAF,be back in a few
BBIAM,be back in a minute
BBIAS,be back in a sec
BBL,be back later
BBN,"bye, bye now"
BBQ,barbeque
BBS,be back soon
BBT,be back tomorrow
BC,because
BCNU,be seeing you
BCO,big crush on
BCOS,because
BCOY,big crush on you
BD,big deal
BDAY,birthday
BDN,big darn number
BEG,big evil grin
BELF,blood elf
BF,boyfriend
BF2,battlefield 2
BFAW,best friend at work
BFD,big fucking deal
BFF,best friends forever
BFFL,best friends for life
BFFLNMW,"best friends for life, no matter what"
BFFN,best friend for now
BFG,big fucking grin
BFN,bye for now
BG,big grin
BGWM,be gentle with me
BHL8,be home late
BIB,boss is back
BIBO,"beer in, beer out"
BIC,butt in chair
BIF,before I forget
BIH,burn in hell
BIL,brother in law
BIO,bathroom break
BION,believe it or not
BIOYA,blow it out your ass
BIOYN,blow it out your nose
BIS,best in slot
BISFLATM,"boy, I sure feel like a turquoise monkey!"
BITMT,but in the meantime
BL,belly laugh
BLNT,better luck next time
BLOKE,man
BM,bite me
BM&Y,between me and you
BME,based on my experience
BMS,broke my scale
BN,bad news
BO,body odor
BOE,bind on equip
BOGO,buy one get one
BOHICA,bend over here it comes again
BOL,best of luck
BOLO,be on the look out
BOM,bitch of mine
BOOMS,bored out of my skull
BOP,bind on pickup
BOPUS,"buy online, pick up in store"
BOSMKL,bending over smacking my knee laughing
BOYF,boyfriend
BPLM,big person little mind
BR,best regards
BRB,be right back
BRBB,be right back bitch
BRD,bored
BRH,be right here
BRNC,"be right back, nature calls"
BRT,be right there
BSF,but seriously folks
BSOD,blue screen of death
BSTS,better safe than sorry
BT,bite this
BTA,but then again
BTDT,"been there, done that"
BTS,behind the scenes
BTW,by the way
BTYCL,bootycall
BUBU,the most beautiful of women
BUFF,changed and is now stronger
BUMP,bring up my post
BURN,used to reference an insult
BWL,bursting with laughter
BYOB,bring your own beer
BYOC,bring your own computer
BYOD,bring your own device
BYOH,bat you on the head
BYOP,bring your own paint
BYTM,better you than me
C/P,cross post
C&G,chuckle and grin
C2C,customer to customer
C4N,ciao for now
CAD,control + alt + delete
CAKEDAY,birthday
CAM,camera
CAN'T,cannot
CB,coffee break
CC,carbon copy
CD9,"code 9, parents are around"
CFS,care for secret?
CFY,calling for you
CHK,check
CIAO,good-bye
CICO,"coffee in, coffee out"
CID,consider it done
CLAB,crying like a baby
CLD,could
CLK,click
CM,call me
CMAP,cover my ass partner
CMB,call me back
CMGR,community manager
CMIIW,correct me if I am wrong
CMON,come on
CMS,content management system
CNP,continued in next post
COB,close of business
COH,city of heroes
COS,because
COULDN'T,could not
CP,chat post
CPC,cost per click
CPM,cost per mile
CR,conversion rate
CR8,create
CRA CRA,crazy
CRAFT,cant remember a fucking thing
CRB,come right back
CRBT,crying really big tears
CRE8,create
CRIT,critical hit
CRS,cant remember stuff
CRZ,crazy
CS,career suicide
CSG,"chuckle, snicker, grin"
CSL,cant stop laughing
CSS,counter-strike source
CT,cant talk
CTA,call to action
CTC,care to chat?
CTHU,cracking the heck up
CTN,cant talk now
CTO,check this out
CTR,click through rate
CU,see you
CU2,see you too
CUA,see you around
CUL,see you later
CUL8R,see you later
CULA,see you later alligator
CUMID,see you in my dreams
CURLO,see you around like a donut
CWD,comment when done
CWOT,complete waste of time
CWYL,chat with you later
CX,customer experience
CYA,see you
CYAL8R,see you later
CYE,check your e-mail
CYEP,close your eyes partner
CYO,see you online
D/L,download
D00D,dude
D2,dedos / fingers
DA,the
DAE,does anyone else?
DAFUQ,what the fuck?
DAM,do not annoy me
DAOC,dark age of camelot
DAREN'T,dare not
DBAU,doing business as usual
DBEYR,do not believe everything you read
DC,disconnect
DD,due diligence
DDG,drop dead gorgeous
DEGT,dear daughter
DERP,stupid
DF,do not even go there
DFL,dead fucking last
DGA,do not go anywhere
DGAF,do not give a fuck
DGT,do not go there
DGTG,"do not go there, girlfriend"
DGYF,"dang, girl you fine"
DH,dear husband
DHU,dinosaur hugs
DIDN'T,did not
DIIK,darned if I know
DIKU,do I know you?
DILLIGAF,do I look like I give a fuck?
DILLIGAS,do I look like I give a sugar?
DIS,did I say?
DITYID,did I tell you I am distressed?
DIY,do it yourself
DKDC,"do not know, do not care"
DKP,dragon kill points
DL,download
DLBBB,do not let the bed bugs bite
DLTBBB,do not let the bed bugs bite
DM,direct message
DMNO,dude man no offense
DMY,do not mess yourself
DN,down
DNC,do not compute
DNR,dinner
DNT,do not
DOE,daughter of eve
DOESN'T,does not
DON'T,do not
DORBS,adorable
DOT,damage over time
DPS,damage per second
DQMOT,do not quote me on this
DR,didnt read
DS,dear son
DTR,define the relationship
DTRT,do the right thing
DTS,do not think so
DTTD,do not touch that dial
DUPE,duplicate
DUR,do you remember?
DV8,deviate
DW,dear wife
DWBH,"do not worry, be happy"
DWF,divorced white female
DWH,during work hours
DWM,divorced white male
DXNRY,dictionary
DYFI,did you find it?
DYFM,"dude, you fascinate me"
DYJHIW,do not you just hate it when...?
DYK,did you know
DYNWUTB,do you know what you are talking about?
DYOR,do your own research
E1,everyone
E123,"easy as one, two, three"
E2EG,ear to ear grin
EAK,eating at keyboard
EBKAC,error between keyboard and chair
ED,erase display
EF4T,effort
EG,evil grin
EI,eat it
EIP,editing in progress
ELI5,explain like I am 5
EM,e-mail
EMA,e-mail address
EMBAR,embarassing
EMFBI,excuse me for butting in
EMSG,e-mail message
ENUF,enough
EOD,end of day
EOL,end of life
EOM,end of message
EOS,end of show
EOT,end of transmission
EQ,everquest
ERP,erotic role-play
ES,erase screen
ESAD,eat shit and die!
ESP,email service provider
ETA,estimated time of arrival
EVO,evolution
EWG,evil wicked grin
EWI,emailing while intoxicated
EXTRA,over the top
EYC,"excitable, yet calm"
EZ,easy
EZY,easy
F,female
F2F,face to face
F2P,free to play
F4F,follow for follow
FAAK,falling asleep at keyboard
FAB,fabulous
FAF,funny as fuck
FAM,family
FAQ,frequently asked questions
FAY,fuck all you
FB,facebook
FBB,facebook buddy
FBC,facebook chat
FBF,flashback friday
FBFR,facebook friend
FBM,fine by me
FBO,facebook official
FBOW,for better or worse
FC,fingers crossed
FCINGO,for crying out loud
FCOL,for crying out loud
FEELSBADMAN,feel negative
FEELSGOODMAN,feel positive
FEITCTAJ,fuck them if they cant take a joke
FF,follow friday
FFA,free for all
FFS,for fucksakes
FICCL,frankly I couldnt care a less
FIF,fuck I am funny
FIIK,fucked if I know
FIIOOH,"forget it, I am out of here"
FIL,father in law
FIMH,forever in my heart
FINNA,means going to
FIOS,fiber optic service
FITB,fill in the blank
FML,fuck my life
FOAD,fuck off and die
FOAF,friend of a friend
FOMC,falling off my chair
FOMCL,falling off my chair laughing
FOMO,fear of missing out
FRT,for real though
FTBOMH,from the bottom of my heart
FTFY,fixed that for you
FTL,for the loss
FTW,for the win
FU,fuck you
FUBAR,fouled up beyond all recognition
FUBB,fouled up beyond belief
FUD,face up deal
FUTAB,"feet up, take a break"
FW,forward
FWB,friend with benefits
FWIW,for what its worth
FWM,fine with me
FWP,first world problems
FYA,for your amusement
FYE,"fire, something that is cool"
FYEO,for your eyes only
FYI,for your information
FYP,for your page
G/F,girlfriend
G+,google+
G2CU,good to see you
G2G,got to go
G2GICYAL8ER,got to go I will see you later
G2R,got to run
G2TU,got to tell you
G4C,going for coffee
G9,genius
GA,go ahead
GAC,get a clue
GAFC,get a fucking clue
GAL,get a life
GAS,got a second?
GB,goodbye
GBTW,get back to work
GBU,god bless you
GD,good
GD/R,"grinning, ducking, and running"
GDR,"grinning, ducking, and running"
GF,girl friend
GFI,go for it
GFN,gone for now
GG,good game
GGA,"good game, all "
GGE1,"good game, everyone "
GGMSOT,gotta get me some of that
GGOH,gotta get outa here
GGP,got to go pee
GGU2,"good game, you too"
GH,good hand
GIAR,give it a rest
GIC,gift in crib
GIF,graphics interchange format
GIGO,"garbage in, garbage out"
GIRL,guy in real life
GJ,good job
GL,good luck
GL/HF,"good luck, have fun "
GL2U,good luck to you
GLA,good luck all
GLE,good luck everyone
GLE1,good luck everyone
GLNG,good luck next game
GMBA,giggling my butt off
GMTA,great minds think alike
GMV,got my vote
GN,good night
GNA,good night all
GNE1,good night everyone
GNIGHT,good night
GNITE,good night
GNSD,"good night, sweet dreams"
GOAT,greatest of all times
GOI,get over it
GOL,giggling out loud
GOMB,get off my back
GPOY,gratuitous picture of yourself
GR&D,"grinning, running and ducking"
GR8,great
GRAS,generally recognized as safe
GRATZ,congratulations
GRL,girl
GRWG,get right with god
GS,good shot
GT,good try
GTFO,get the fuck out
GTFOH,get the fuck outta here
GTG,got to go; good to go
GTM,giggling to myself
GTR,got to run
GTRM,going to read mail
GTSY,great to see you
GUCCI,good
GUD,good
GWHTLC,glad we had this little chat
H,hug
H-BDAY,happy birthday
H-FDAY,happy fathers day
H-MDAY,happy mothers day
H&K,hugs and kisses
H2CUS,hope to see you soon
H8,hate
H8TTU,hate to be you
HADN'T,had not
HAG1,have a good one
HAGN,have a good night
HAGO,have a good one
HAK,hug and kiss
HALP,help
HASN'T,has not
HAU,how about you?
HAVEN'T,have not
HAWT,have a wonderful day
HB,hurry back
HBD,happy birthday
HBU,how about you?
HE'D,he would
HE'LL,he will
HE'S,he is
HERE'S,here is
HF,have fun
HFAC,holy flipping animal crackers
HHIS,head hanging in shame
HIFW,how I felt when
HL,half life
HLA,hola
HMB,hit me back
HMU,hit me up
HNL,whole nother level
HOAS,hold on a second
HOW'S,how is
HP,hit points
HRU,how are you?
HT,hat tip
HTH,hope this helps; happy to help
HTML,hyper text markup language
HUB,head up butt
HUYA,head up your ass
HV,have
HVH,heroic violet hold
HW,homework
HYFR,"hell yeah, fucking right!"
I'D,I would
I'LL,I will
I'M,I am
I'VE,I have
I2,I too
IA8,I already ate
IAAA,I am an accountant
IAAD,I am a doctor
IAAL,I am a lawyer
IAC,in any case
IAE,in any event
IANAC,I am not a crook
IANAD,I am not a doctor
IANAL,I am not a lawyer
IAO,I am out
IB,I am back
IC,I see
ICAM,I couldnt agree more
ICBW,it could be worse
ICEDI,I cant even discuss it
ICFILWU,I could fall in love with you
ICYMI,in case you missed it
IDBI,I do not believe it
IDC,I do not care
IDGAF,I do not give a fuck
IDK,I do not know
IDTS,I do not think so
IDUNNO,I do not know
IFYP,I feel your pain
IG,instagram
IG2R,I got to run
IGHT,I got high tonight
IGN,I got nothing
IGP,I got to go pee
IHNI,I have no idea
IIIO,"intel inside, idiot outside"
IIRC,if I remember correctly
IK,I know
IKR,"I know, right?"
ILBL8,ill be late
ILU,I love you
ILUM,I love you man
ILY,I love you
ILYSM,I love you so much
IM,instant message
IMAO,in my arrogant opinion
IMHO,in my humble opinion
IML,I love you
IMNSHO,in my not so humble opinion
IMO,in my opinion
IMS,I am sorry
IMSB,I am so bored
IMTM,I am the man
IMU,I miss you
INAL,I am not a lawyer
INC,incoming
INSPOO,inspiration
INV,invite
IO,insertion order
IOMH,in over my head
IOW,in other words
IRL,in real life
IRMC,I rest my case
ISLY,I still love you
ISN'T,is not
ISO,in search of
ISP,internet service provider
ISTG,I swear to god
IT'D,it would
IT'LL,it will
IT'S,it is
ITAM,its the accounting man
ITT,in this thread
ITYK,I thought you knew
IU2U,its up to you
IUSS,if you say so
IWALU,I will always love you
IWAWO,I want a way out
IWIAM,idiot wrapped in a moron
IWNDWYT,I will not drink with you today
IWSN,I want sex now
IYKWIM,if you know what I mean
IYO,in your opinion
IYQ,I like you
IYSS,if you say so
J00,you
J00R,your
JAC,just a second
JAS,just a second
JC,just checking
JDI,just do it
JELLY,jealous
JFF,just for fun
JFGI,just fucking google it
JIC,just in case
JJ,just joking
JJA,just joking around
JK,just kidding
JLMK,just let me know
JMO,just my opinion
JP,just playing
JT,just teasing
JTLYK,just to let you know
JV,joint venture
JW,just wondering
K,okay
K/B,keyboard
K8T,katie
KB,keyboard
KDFU,cracking the fuck up
KEWL,cool
KEYA,I will key you later
KEYME,key me when you get in
KFY,kiss for you
KIA,know it all
KIR,keep it real
KISS,"keep it simple, stupid"
KIT,keep in touch
KK,"okay, okay!"
KMA,kiss my ass
KMK,kiss my keister
KMS,killing myself
KMT,kiss my tushie
KNIM,know what I mean?
KNOW,knowledge
KOC,kiss on cheek
KOL,key opinion leader
KOS,kid over shoulder
KOTC,kiss on the cheek
KOTD,kicks of the day
KOTL,kiss on the lips
KOW,knock on wood
KPC,keeping parents clueless
KPI,key performance indicator
KS,kill then steal
KSC,kind of sort of chuckle
KT,katie
KUTGW,keep up the good work
KYS,kill yourself
L2G,love to go
L2K,like to come
L2P,learn to play
L33T,"leet, elite"
L4L,like for like
L8R,later
L8RG8R,"later, gator"
LAB,lifes a bitch
LBAY,laughing back at you
LBS,"laughing, but serious"
LBVS,laughing but very serious
LD,long distance
LDO,"like, duh obviously"
LEMENO,let me know
LERK,leaving easy reach of keyboard
LET'S,let us
LFD,left for day
LFG,looking for group
LFM,looking for more
LGH,lets get high
LH6,lets have sex
LHM,lord help me
LHO,laughing head off
LHSX,lets have sex
LI,linkedin
LIC,like I care
LIK,liquor
LIMT,laugh in my tummy
LIT,really good
LLGB,"love, later, god bless"
LLS,laughing like shit
LMAO,laughing my ass off
LMBO,laughing my butt off
LMFAO,laughing my fucking ass off
LMIRL,lets meet in real life
LMK,let me know
